排名,球员姓名,位置,球队,综合mu,综合sigma,综合保守评分,国家队_mu,国家队_sigma,俱乐部_mu,俱乐部_sigma,总出场
1,Michael Olise,FW,FRA,38.65,4.4,25.45,32.02,5.78,43.07,6.24,42
2,Luis Díaz,FW,COL,36.75,3.85,25.2,36.31,5.41,37.05,5.31,53
3,Lamine Yamal,FW,ESP,37.06,3.99,25.09,34.65,5.35,38.67,5.61,32
4,Kylian Mbappé (captain),FW,FRA,37.12,4.06,24.94,37.73,5.66,36.72,5.61,39
5,Ederson,GK,BRA,43.07,6.24,24.35,43.07,6.24,,,11
6,Morgan Rogers,MF,ENG,35.03,3.84,23.51,33.7,5.55,35.91,5.22,10
7,Nick Woltemade,FW,GER,34.6,3.7,23.5,35.03,5.23,34.32,5.08,9
8,Scott McTominay,MF,SCO,34.77,3.79,23.4,34.65,5.34,34.85,5.21,42
9,Lisandro Martínez,DF,ARG,37.59,4.76,23.31,30.6,7.17,42.25,6.34,76
10,Jorrel Hato,DF,NED,34.49,3.8,23.09,31.5,5.16,36.48,5.32,2
11,Ibrahim Maza,MF,ALG,34.56,3.83,23.07,30.22,5.48,37.46,5.24,6
12,Pedro Neto,FW,POR,34.3,3.89,22.63,34.44,5.2,34.21,5.48,42
13,Gregor Kobel,GK,SUI,39.12,5.54,22.5,39.12,5.54,,,8
14,Deniz Undav,FW,GER,33.67,3.79,22.3,32.93,5.35,34.16,5.21,32
15,Raphinha,FW,BRA,33.84,3.86,22.26,34.59,5.27,33.34,5.38,16
16,Habib Diarra,MF,SEN,33.19,3.76,21.91,30.29,5.17,35.13,5.23,8
17,Noni Madueke,FW,ENG,34.56,4.24,21.84,30.6,7.17,37.2,5.21,4
18,Jørgen Strand Larsen,FW,NOR,34.4,4.3,21.5,30.6,7.17,36.94,5.34,8
19,Achraf Hakimi (captain),DF,MAR,40.83,6.53,21.24,40.83,6.53,,,9
20,Andy Robertson (captain),DF,SCO,36.62,5.17,21.11,,,36.62,5.17,0
21,Ollie Watkins,FW,ENG,32.39,3.77,21.08,29.79,5.35,34.12,5.18,39
22,Omar Marmoush,FW,EGY,33.54,4.18,21.0,29.23,7.03,36.42,5.15,10
