# 教练对账表
# 格式: 懂球帝中文名,Zafronix英文名,国家队代码
# 确认的删掉 #，不确定的保持注释

佩特科维奇,Vladimir Petković,ALG
斯卡洛尼,Lionel Scaloni,ARG
托尼-波波维奇,Tony Popovic,AUS
朗尼克,Ralf Rangnick,AUT
鲁迪-加西亚,Rudi Garcia,BEL
巴巴雷茨,Sergej Barbarez,BIH
安切洛蒂,Carlo Ancelotti,BRA
马希,Jesse Marsch,CAN
法埃,Emerse Faé,CIV
杜萨布雷,Sébastien Desabre,COD
洛伦索,Néstor Lorenzo,COL
布比斯塔,Bubista,CPV
达利奇,Zlatko Dalić,CRO
艾德沃卡特,Dick Advocaat,CUW
# 库贝克,Ivan Hašek,CZE    # ?? 库贝克≠Hašek，待确认
贝卡切切,Sebastián Beccacece,ECU
胡萨姆-哈桑,Hossam Hassan,EGY
图赫尔,Thomas Tuchel,ENG
路易斯-德拉富恩特,Luis de la Fuente,ESP
德尚,Didier Deschamps,FRA
纳格尔斯曼,Julian Nagelsmann,GER
# 奎罗斯,Otto Addo,GHA     # ?? 奎罗斯≠Otto Addo，待确认
米涅,Sébastien Migné,HAI
加莱诺埃,Amir Ghalenoei,IRN
格雷厄姆-阿诺德,Graham Arnold,IRQ
塞拉米,Jamal Sellami,JOR
森保一,Hajime Moriyasu,JPN
洪明甫,Hong Myung-bo,KOR
# 多尼斯,Hervé Renard,KSA  # ?? 多尼斯≠Renard，待确认
# 穆罕默德-瓦赫比,Walid Regragui,MAR  # ?? 名不对，待确认
阿吉雷,Javier Aguirre,MEX
罗纳德-科曼,Ronald Koeman,NED
索尔巴肯,Ståle Solbakken,NOR
贝兹利,Darren Bazeley,NZL
克里斯蒂安森,Thomas Christiansen,PAN
阿尔法罗,Gustavo Alfaro,PAR
罗伯托-马丁内斯,Roberto Martínez,POR
洛佩特吉,Julen Lopetegui,QAT
布罗斯,Hugo Broos,RSA
史蒂夫-克拉克,Steve Clarke,SCO
蒂奥,Pape Thiaw,SEN
穆拉特-雅金,Murat Yakin,SUI
波特,Graham Potter,SWE
拉穆奇,Sami Trabelsi,TUN
蒙特拉,Vincenzo Montella,TUR
贝尔萨,Marcelo Bielsa,URU
波切蒂诺,Mauricio Pochettino,USA
# 卡纳瓦罗,Timur Kapadze,UZB  # ?? 卡纳瓦罗≠Kapadze，待确认
